loan_sequence_no,monthly_reporting_period,curr_actual_upb,curr_loan_delinquency_status,loan_age,remaining_months_to_legal_maturity,curr_interest_rate,curr_deferred_upb
F116Q1135442,201610,350513.93,1,7,353,3.5,0
F116Q1135453,201611,154341.98,1,7,353,4.375,0
F116Q1135467,201612,387030.55,0,8,352,3.625,0
F116Q1135490,201608,612000.0,0,4,175,3.125,0
F116Q1135526,201610,619925.42,0,7,353,4.75,0
F116Q1135538,201608,331000.0,1,5,355,3.875,0
F116Q1135545,201606,174000.0,1,3,237,3.99,0
F116Q1135565,201607,32000.0,0,4,176,4.25,0
F116Q1135566,201609,142000.0,0,6,354,4.375,0
F116Q1135605,201607,74000.0,1,4,236,4.25,0
F116Q1135608,201608,309000.0,1,4,236,4.625,0
F116Q1135667,201606,524000.0,0,2,358,4.25,0
F116Q1135804,201605,76000.0,0,1,359,3.625,0
F116Q1135851,201612,612471.83,0,9,351,4.375,0
F116Q1135874,201608,360000.0,0,4,356,4.125,0
F116Q1135947,201611,276805.6,0,8,352,4.125,0
F116Q1135972,201606,163000.0,1,3,357,3.875,0
F116Q1135975,201603,306000.0,0,0,360,3.875,0
F116Q1135984,201605,359000.0,1,2,358,3.875,0
F116Q1135993,201607,189000.0,0,3,357,4.125,0
F116Q1136023,201611,168916.89,0,8,352,3.75,0
F116Q1136029,201604,167000.0,1,2,358,4.375,0
F116Q1136053,201608,145000.0,0,5,355,3.875,0
F116Q1136065,201606,167000.0,0,2,358,4.0,0
F116Q1136067,201604,399000.0,0,0,360,3.75,0
F116Q1136112,201611,224836.91,0,7,353,4.25,0
F116Q1136122,201612,255013.25,1,8,352,3.625,0
F116Q1136155,201609,158000.0,1,5,235,3.875,0
F116Q1136186,201607,415000.0,1,3,356,4.0,0
F116Q1136186,201609,413000.0,1,5,354,4.0,0
F116Q1136187,201611,261483.34,0,7,353,4.375,0
F116Q1136200,201605,194000.0,1,2,358,4.125,0
F116Q1136205,201605,334000.0,1,2,358,4.125,0
F116Q1136211,201611,316923.53,0,7,293,3.99,0
F116Q1136224,201610,294000.0,1,6,354,3.75,0
F116Q1136251,201605,250000.0,0,2,358,4.625,0
F116Q1136253,201605,226000.0,0,2,178,3.0,0
F116Q1136284,201608,191000.0,1,4,356,4.25,0
F116Q1136284,201611,189665.6,1,7,353,4.25,0
F116Q1136295,201609,77000.0,1,5,235,4.625,0
F116Q1136297,201609,409000.0,0,6,354,4.25,0
F116Q1136339,201607,253000.0,1,3,357,3.75,0
F116Q1136339,201608,253000.0,1,4,356,3.75,0
F116Q1136345,201606,167000.0,1,2,358,4.625,0
F116Q1136354,201606,228000.0,0,3,357,4.0,0
F116Q1136390,201605,389000.0,1,3,358,4.125,0
F116Q1136402,201610,218341.82,1,7,173,3.75,0
F116Q1136407,201608,170000.0,1,5,355,3.99,0
F116Q1136450,201605,331000.0,1,2,358,4.125,0
F116Q1136511,201607,122000.0,0,4,176,3.25,0
F116Q1136527,201611,167591.84,0,7,173,3.375,0
F116Q1136532,201610,139000.0,1,6,174,3.5,0
F116Q1136577,201611,119090.64,1,7,353,3.75,0
F116Q1136577,201612,119090.64,1,8,352,3.75,0
F116Q1136581,201608,176000.0,0,4,356,3.75,0
F116Q1136584,201604,320000.0,0,0,360,3.75,0
F116Q1136715,201604,260000.0,0,1,360,3.875,0
F116Q1136715,201612,256838.32,1,9,352,3.875,0
F116Q1136736,201611,220085.89,0,8,352,3.75,0
F116Q1136766,201611,210967.16,0,8,232,3.5,0
F116Q1136787,201612,394509.59,0,9,351,3.75,0
F116Q1136822,201611,174003.51,1,8,352,4.125,0
F116Q1136822,201612,173497.8,1,9,351,4.125,0
F116Q1136846,201606,298000.0,0,2,358,3.625,0
F116Q1136864,201605,61000.0,0,2,358,3.99,0
F116Q1136904,201607,406000.0,0,4,356,3.875,0
F116Q1136928,201612,318655.94,0,8,352,3.875,0
F116Q1136936,201609,370000.0,1,6,354,3.75,0
F116Q1136936,201610,369577.98,1,7,353,3.75,0
F116Q1136936,201611,369577.98,1,8,352,3.75,0
F116Q1136936,201612,369577.98,1,9,351,3.75,0
F116Q1137057,201608,0.0,0,5,355,3.75,0
F116Q1137106,201607,195000.0,0,4,176,3.125,0
F116Q1137221,201605,81000.0,0,1,359,3.625,0
F116Q1137222,201607,464000.0,0,3,357,3.5,0
F116Q1137231,201606,157000.0,1,2,358,4.125,0
F116Q1137244,201611,97171.16,1,7,353,4.25,0
F116Q1137438,201612,265368.78,0,8,352,4.0,0
F116Q1137530,201607,262000.0,1,4,356,4.5,0
F116Q1137530,201612,260138.62,1,9,351,4.5,0
F116Q1137541,201610,277147.62,0,7,353,4.0,0
F116Q1137558,201608,175000.0,1,5,355,4.625,0
F116Q1137564,201610,378000.0,1,6,354,4.875,0
F116Q1137572,201609,114933.03,1,7,353,4.625,0
F116Q1137575,201605,382000.0,0,1,359,4.75,0
F116Q1137640,201611,218029.83,1,7,353,3.875,0
F116Q1137682,201606,188000.0,0,2,358,3.75,0
F116Q1137694,201607,256000.0,1,3,177,3.25,0
F116Q1137712,201608,312000.0,1,4,176,3.625,0
F116Q1137712,201609,309000.0,1,5,175,3.625,0
F116Q1137712,201612,306648.31,1,8,172,3.625,0
F116Q1137743,201605,294000.0,1,2,358,3.75,0
F116Q1137745,201610,263795.46,0,7,353,3.75,0
F116Q1137783,201607,87000.0,0,4,116,3.375,0
F116Q1137786,201606,176000.0,0,3,117,3.5,0
F116Q1137799,201603,122000.0,0,0,180,3.375,0
F116Q1137823,201608,119000.0,0,5,175,3.375,0
F116Q1137855,201610,68415.6,0,7,173,3.75,0
F116Q1137882,201608,68000.0,1,5,175,3.625,0
F116Q1137889,201607,172000.0,0,4,176,3.625,0
F116Q1137895,201610,132857.19,0,7,173,3.5,0
F116Q1137933,201608,132000.0,1,5,175,3.5,0
F116Q1137984,201608,222000.0,1,5,355,4.125,0
F116Q1137995,201612,244790.28,0,8,232,3.75,0
F116Q1137997,201605,196000.0,0,1,359,4.125,0
F116Q1138007,201610,221000.0,0,6,234,3.625,0
F116Q1138051,201609,385000.0,1,5,355,4.25,0
F116Q1138051,201610,384000.0,1,6,354,4.25,0
F116Q1138051,201611,384337.93,1,7,353,4.25,0
F116Q1138051,201612,383795.2,1,8,352,4.25,0
F116Q1138055,201606,416000.0,1,2,358,4.25,0
F116Q1138076,201610,298754.21,0,7,353,4.0,0
F116Q1138168,201607,347000.0,1,3,357,4.125,0
F116Q1138191,201608,159000.0,0,4,356,4.125,0
F116Q1138208,201603,43000.0,0,0,180,3.875,0
F116Q1138226,201604,186000.0,0,1,359,3.75,0
F116Q1138248,201608,198000.0,0,5,355,3.75,0
F116Q1138248,201610,197079.99,0,7,353,3.75,0
F116Q1138276,201605,120000.0,1,2,358,3.75,0
F116Q1138276,201612,118228.26,1,9,351,3.75,0
F116Q1138280,201607,303000.0,0,4,356,3.875,0
F116Q1138304,201606,415000.0,1,3,357,3.875,0
F116Q1138316,201612,292965.84,1,9,351,3.875,0
F116Q1138319,201605,280000.0,1,2,358,3.75,0
F116Q1138321,201606,383000.0,1,3,357,3.875,0
F116Q1138358,201608,311000.0,1,5,355,3.875,0
F116Q1138381,201607,279000.0,0,4,356,3.75,0
F116Q1138398,201606,359000.0,1,2,358,4.125,0
F116Q1138409,201608,50000.0,1,5,355,4.75,0
F116Q1138410,201603,80000.0,0,0,360,3.875,0
F116Q1138460,201612,381646.47,0,8,172,2.75,0
F116Q1138536,201609,282000.0,1,5,174,2.75,0
F116Q1138549,201604,170000.0,0,0,180,3.375,0
F116Q1138556,201610,103000.0,0,6,174,3.75,0
F116Q1138558,201603,245000.0,0,0,360,4.25,0
F116Q1138575,201606,139000.0,1,2,358,3.75,0
F116Q1138579,201612,150002.49,0,9,351,4.0,0
F116Q1138588,201611,253776.38,1,9,351,4.5,0
F116Q1138588,201612,253428.32,1,10,350,4.5,0
F116Q1138648,201612,116426.18,1,8,352,4.0,0
F116Q1138660,201607,89000.0,0,3,357,4.875,0
F116Q1138893,201604,93000.0,0,0,360,4.375,0
F116Q1138900,201610,282000.0,1,6,354,4.25,0
F116Q1138900,201611,281231.79,1,7,353,4.25,0
F116Q1138981,201607,253000.0,0,4,177,2.875,0
F116Q1139031,201606,375000.0,0,2,358,4.375,0
F116Q1139039,201609,329000.0,1,5,175,3.125,0
F116Q1139076,201609,102000.0,0,6,354,4.0,0
F116Q1139123,201605,123000.0,0,1,359,3.625,0
F116Q1139133,201612,119447.44,0,8,172,2.875,0
F116Q1139147,201609,335000.0,0,5,355,3.625,0
F116Q1139151,201607,111000.0,0,3,177,3.25,0
F116Q1139233,201605,179000.0,0,1,239,3.875,0
F116Q1139237,201606,367000.0,1,3,237,3.5,0
F116Q1139281,201609,248000.0,0,5,355,3.75,0
F116Q1139316,201607,414000.0,1,4,356,3.5,0
F116Q1139339,201612,377582.24,0,9,351,4.125,0
F116Q1139357,201609,139000.0,0,5,355,3.875,0
F116Q1139424,201611,264460.35,1,7,353,3.5,0
F116Q1139431,201610,198815.69,1,7,354,3.875,0
F116Q1139452,201604,290000.0,0,1,359,3.875,0
F116Q1139453,201606,164000.0,0,3,357,3.75,0
F116Q1139465,201611,244334.0,0,7,353,3.875,0
F116Q1139539,201605,294000.0,1,2,358,3.875,0
F116Q1139547,201608,176000.0,0,4,356,3.625,0
F116Q1139590,201612,413202.05,1,8,352,3.75,0
F116Q1139640,201604,234000.0,0,1,179,3.25,0
F116Q1139646,201610,0.0,1,7,173,3.875,0
F116Q1139662,201611,326504.43,0,9,171,3.875,0
F116Q1139682,201603,415000.0,0,1,180,3.375,0
F116Q1139705,201607,110000.0,0,4,236,4.625,0
F116Q1139713,201606,104000.0,1,2,357,4.375,0
F116Q1139716,201607,227000.0,1,3,357,4.0,0
F116Q1139837,201606,137000.0,1,3,357,4.5,0
F116Q1139837,201607,137000.0,1,4,356,4.5,0
F116Q1139837,201608,137000.0,1,5,355,4.5,0
F116Q1139837,201609,137000.0,1,6,354,4.5,0
F116Q1139837,201610,136557.11,1,7,353,4.5,0
F116Q1139837,201611,136371.72,1,8,352,4.5,0
F116Q1139837,201612,136185.63,1,9,351,4.5,0
F116Q1139847,201610,237861.08,0,7,353,4.75,0
F116Q1139858,201610,111223.0,1,7,353,4.25,0
F116Q1139875,201611,293771.38,1,7,353,4.25,0
F116Q1139875,201612,293354.49,1,8,352,4.25,0
F116Q1139914,201609,41000.0,0,5,295,5.125,0
F116Q1139917,201607,368000.0,0,3,357,4.0,0
F116Q1139955,201606,415000.0,1,3,357,3.875,0
F116Q1139981,201611,114408.71,0,7,353,4.0,0
F116Q1140108,201608,209000.0,1,4,356,3.99,0
F116Q1140150,201609,0.0,0,5,355,3.75,0
F116Q1140197,201612,211100.97,0,9,171,3.25,0
F116Q1140220,201609,141000.0,0,5,174,2.875,0
F116Q1140241,201605,518000.0,0,1,359,3.875,0
F116Q1140250,201605,343000.0,0,1,359,4.25,0
F116Q1140260,201612,100190.93,0,8,172,2.625,0
F116Q1140272,201608,165000.0,0,5,235,4.25,0
F116Q1140285,201603,269000.0,0,0,360,4.125,0
F116Q1140304,201607,343000.0,0,4,356,3.875,0
F116Q1140330,201611,166286.49,0,8,352,4.0,0
F116Q1140349,201604,112000.0,0,0,360,4.125,0
F116Q1140383,201607,168000.0,0,4,356,4.0,0
F116Q1140426,201609,415000.0,0,5,355,3.875,0
F116Q1140446,201611,340417.95,0,7,353,3.875,0
F116Q1140463,201609,312000.0,0,5,355,3.875,0
F116Q1140498,201606,567000.0,0,2,358,3.625,0
F116Q1140503,201610,487000.0,0,6,354,3.875,0
F116Q1140516,201610,560000.0,0,6,354,4.125,0
F116Q1140517,201607,256000.0,1,3,357,4.125,0
F116Q1140519,201607,200000.0,1,3,357,4.0,0
F116Q1140519,201608,199000.0,1,4,356,4.0,0
F116Q1140522,201612,188614.17,1,8,352,4.0,0
F116Q1140535,201605,316000.0,1,2,358,4.0,0
F116Q1140555,201609,59000.0,1,6,354,4.375,0
F116Q1140587,201606,148000.0,0,3,357,4.25,0
F116Q1140619,201608,229000.0,1,5,355,3.75,0
F116Q1140636,201608,340000.0,0,4,356,3.875,0
F116Q1140643,201608,371000.0,1,4,356,3.75,0
F116Q1140645,201607,644000.0,1,3,357,3.875,0
F116Q1140645,201611,638268.49,1,7,353,3.875,0
F116Q1140659,201611,0.0,1,7,353,3.875,0
F116Q1140681,201608,188000.0,1,4,356,4.125,0
F116Q1140710,201605,76000.0,0,2,238,3.75,0
F116Q1140720,201612,138294.55,0,8,352,3.75,0
F116Q1140736,201603,114000.0,0,0,360,3.625,0
F116Q1140739,201605,252000.0,0,1,359,3.75,0
F116Q1140743,201609,285000.0,0,5,355,4.0,0
F116Q1140764,201610,57252.76,1,7,353,4.99,0
F116Q1140769,201610,63000.0,0,6,354,4.125,0
F116Q1140794,201608,164000.0,1,4,356,4.25,0
F116Q1140801,201611,444594.05,1,7,353,4.25,0
F116Q1140854,201610,156000.0,1,6,354,4.125,0
F116Q1140858,201609,268000.0,0,5,355,3.875,0
F116Q1140859,201606,156000.0,0,2,358,4.375,0
F116Q1140896,201606,168000.0,1,2,358,4.0,0
F116Q1140909,201610,565000.0,0,6,354,3.875,0
F116Q1140926,201604,119000.0,0,0,360,4.0,0
F116Q1140971,201605,458000.0,0,1,359,3.75,0
F116Q1140997,201607,211000.0,0,3,357,3.625,0
F116Q1141032,201606,623000.0,1,3,357,5.0,0
F116Q1141048,201609,138000.0,1,5,175,3.125,0
F116Q1141053,201606,99000.0,1,3,177,4.125,0
F116Q1141091,201606,140000.0,0,2,358,3.75,0
F116Q1141095,201612,332732.98,0,8,172,3.0,0
F116Q1141128,201612,168877.99,1,8,352,3.99,0
F116Q1141154,201606,114000.0,0,3,358,4.875,0
F116Q1141193,201610,42000.0,0,6,354,4.5,0
F116Q1141194,201606,171000.0,0,2,358,4.5,0
F116Q1141212,201604,161000.0,0,0,360,3.75,0
F116Q1141247,201607,438000.0,0,3,357,3.75,0
F116Q1141253,201611,323842.4,0,7,353,3.875,0
F116Q1141262,201607,369000.0,1,3,356,5.125,0
F116Q1141347,201608,117000.0,1,4,356,3.75,0
F116Q1141384,201610,364000.0,0,6,354,3.625,0
F116Q1141451,201609,244000.0,0,5,175,2.99,0
F116Q1141484,201605,138000.0,0,1,179,3.125,0
F116Q1141512,201612,236701.07,0,8,172,3.625,0
F116Q1141528,201608,259000.0,0,4,176,3.375,0
F116Q1141576,201609,124000.0,0,6,175,3.875,0
F116Q1141585,201612,190084.83,1,8,172,3.375,0
F116Q1141639,201604,274000.0,0,0,180,3.625,0
F116Q1141701,201608,345000.0,0,4,356,3.75,0
F116Q1141714,201607,369000.0,1,3,357,3.75,0
F116Q1141730,201609,206000.0,1,5,355,3.75,0
F116Q1141735,201606,166000.0,1,3,357,4.125,0
F116Q1141758,201612,201605.48,1,8,352,4.25,0
F116Q1141787,201605,196000.0,0,1,359,3.875,0
F116Q1141845,201612,378031.47,0,8,352,3.99,0
F116Q1141882,201606,388000.0,1,2,358,4.125,0
F116Q1141918,201612,298135.4,1,8,352,4.25,0
F116Q1141942,201609,137000.0,0,5,355,4.0,0
F116Q1141966,201606,88000.0,1,2,358,4.0,0
F116Q1142007,201603,281000.0,0,1,358,4.0,0
F116Q1142009,201610,361484.62,0,8,352,4.0,0
F116Q1142040,201605,317000.0,0,3,357,4.0,0
F116Q1142058,201609,271392.28,0,7,353,4.0,0
F116Q1142116,201612,383998.17,0,10,350,4.0,0
F116Q1142129,201605,369000.0,0,3,357,4.0,0
F116Q1142164,201606,260000.0,0,2,358,3.875,0
F116Q1142167,201609,579040.51,0,7,353,4.0,0
F116Q1142224,201605,409000.0,1,2,358,4.0,0
F116Q1142246,201607,383000.0,1,5,355,4.0,0
F116Q1142246,201608,383000.0,1,6,354,4.0,0
F116Q1142246,201609,383296.12,1,7,353,4.0,0
F116Q1142246,201610,383296.12,1,8,352,4.0,0
F116Q1142277,201605,180000.0,1,3,357,4.0,0
F116Q1142284,201606,292000.0,0,3,357,4.0,0
F116Q1142286,201611,257709.15,0,8,352,4.0,0
F116Q1142369,201605,284000.0,1,3,357,4.0,0
F116Q1142439,201611,401660.56,0,8,352,4.0,0
F116Q1142454,201608,355000.0,1,6,354,4.0,0
F116Q1142462,201606,269000.0,0,3,357,4.0,0
F116Q1142518,201607,393000.0,0,5,355,4.0,0
F116Q1142538,201607,213000.0,1,3,177,3.375,0
F116Q1142557,201608,165000.0,1,4,356,3.875,0
F116Q1142566,201607,343000.0,0,3,357,3.625,0
F116Q1142570,201606,100000.0,1,3,357,4.0,0
F116Q1142594,201612,322409.27,0,8,352,4.25,0
F116Q1142606,201603,258000.0,0,0,360,3.875,0
F116Q1142671,201605,147000.0,1,3,357,4.25,0
F116Q1142674,201611,132504.62,0,8,352,4.25,0
F116Q1142686,201606,140000.0,0,4,356,4.25,0
F116Q1142697,201604,149000.0,0,1,359,4.375,0
F116Q1142752,201610,543241.3,0,8,353,4.25,0
F116Q1142831,201608,79000.0,0,6,354,4.25,0
F116Q1142848,201606,70000.0,0,4,356,4.5,0
F116Q1142872,201612,120867.19,1,10,350,4.875,0
F116Q1142880,201608,138000.0,0,6,354,4.875,0
F116Q1142925,201606,159000.0,0,3,357,4.0,0
F116Q1142967,201606,166000.0,1,4,356,4.125,0
F116Q1142967,201607,165000.0,1,5,355,4.125,0
F116Q1143043,201608,204000.0,0,5,176,3.125,0
F116Q1143054,201610,339000.0,1,6,174,2.875,0
F116Q1143061,201610,115723.01,1,8,352,4.375,0
F116Q1143105,201604,180000.0,0,0,360,3.875,0
F116Q1143112,201607,297000.0,0,3,357,3.75,0
F116Q1143122,201607,108000.0,1,4,176,3.25,0
F116Q1143130,201609,245000.0,0,6,354,4.5,0
F116Q1143142,201611,296633.39,1,7,353,3.5,0
F116Q1143191,201607,331000.0,0,3,357,4.375,0
F116Q1143229,201605,150000.0,0,1,359,4.125,0
F116Q1143245,201606,328000.0,1,2,358,4.49,0
F116Q1143278,201610,88569.29,0,8,352,4.0,0
F116Q1143286,201605,100000.0,0,2,358,4.125,0
F116Q1143287,201604,327000.0,0,0,360,3.75,0
F116Q1143316,201612,235628.24,1,8,352,4.125,0
F116Q1143332,201609,0.0,1,5,355,4.5,0
F116Q1143345,201605,198000.0,0,1,359,3.5,0
F116Q1143364,201605,0.0,0,1,359,3.75,0
F116Q1143465,201609,148000.0,0,6,174,3.75,0
F116Q1143484,201607,152000.0,0,5,175,3.5,0
F116Q1143491,201611,412763.18,1,7,353,4.125,0
F116Q1143492,201610,111000.0,0,6,354,3.625,0
F116Q1143536,201611,584249.13,0,7,353,4.25,0
F116Q1143551,201608,275000.0,1,4,356,4.25,0
F116Q1143554,201607,193000.0,1,3,357,4.125,0
F116Q1143566,201612,182598.06,0,8,172,3.625,0
F116Q1143606,201607,81000.0,0,3,357,4.25,0
F116Q1143701,201612,245605.34,0,9,171,3.125,0
F116Q1143733,201605,347000.0,0,1,179,2.8,0
F116Q1143741,201608,528000.0,1,5,355,4.375,0
F116Q1143783,201605,122000.0,1,3,177,3.5,0
F116Q1143796,201610,170000.0,1,6,354,3.75,0
F116Q1143796,201611,169964.94,1,7,353,3.75,0
F116Q1143796,201612,169964.94,1,8,352,3.75,0
F116Q1143802,201606,319000.0,0,2,358,3.625,0
F116Q1143846,201604,122000.0,0,1,179,3.5,0
F116Q1143846,201612,118345.6,0,9,171,3.5,0
F116Q1143866,201611,127600.86,0,8,172,3.5,0
F116Q1143873,201610,217000.0,1,6,354,4.375,0
F116Q1143873,201612,216402.91,1,8,352,4.375,0
F116Q1143876,201610,323000.0,1,6,354,4.625,0
F116Q1143876,201611,323062.38,1,7,353,4.625,0
F116Q1143876,201612,322636.57,1,8,352,4.625,0
F116Q1143880,201606,439000.0,0,2,358,3.625,0
F116Q1143930,201608,328000.0,1,5,235,3.5,0
F116Q1143946,201605,322000.0,0,2,178,2.75,0
F116Q1143966,201606,67000.0,0,3,357,4.0,0
F116Q1143974,201606,247000.0,1,3,357,3.875,0
F116Q1143974,201612,245274.1,1,9,351,3.875,0
F116Q1144014,201608,294000.0,1,5,235,4.125,0
F116Q1144028,201608,360000.0,0,5,355,3.875,0
F116Q1144073,201612,389378.33,1,8,352,4.5,0
F116Q1144101,201606,252000.0,0,3,357,3.75,0
F116Q1144116,201607,288000.0,1,4,356,3.625,0
F116Q1144184,201606,331000.0,1,3,357,4.0,0
F116Q1144230,201606,243000.0,0,3,357,3.875,0
F116Q1144242,201612,164840.79,1,9,351,4.125,0
F116Q1144255,201612,137207.34,1,9,351,4.625,0
F116Q1144262,201612,159203.07,0,9,351,4.25,0
F116Q1144268,201612,150413.45,1,9,351,4.625,0
F116Q1144314,201609,165000.0,0,5,355,3.875,0
F116Q1144318,201610,159781.25,0,7,353,3.75,0
F116Q1144374,201605,173000.0,0,1,359,3.875,0
F116Q1144403,201606,522000.0,1,2,178,3.0,0
F116Q1144413,201612,442888.99,0,8,352,4.125,0
F116Q1144420,201605,295000.0,0,3,357,3.875,0
F116Q1144435,201606,353000.0,1,2,358,3.625,0
F116Q1144456,201608,416000.0,1,4,356,4.125,0
F116Q1144456,201609,416000.0,1,5,355,4.125,0
F116Q1144456,201610,416000.0,1,6,354,4.125,0
F116Q1144456,201611,412538.25,1,7,353,4.125,0
F116Q1144461,201612,210816.05,0,9,351,3.75,0
F116Q1144462,201605,292000.0,1,2,358,3.625,0
F116Q1144490,201610,85000.0,1,6,354,4.5,0
F116Q1144490,201611,84242.66,1,7,353,4.5,0
F116Q1144575,201606,237000.0,1,2,358,3.875,0
F116Q1144585,201604,271000.0,0,0,180,3.375,0
F116Q1144586,201608,161000.0,0,4,176,3.875,0
F116Q1144588,201612,243925.09,1,8,352,3.625,0
F116Q1144589,201606,416000.0,1,2,358,3.5,0
F116Q1144603,201610,273000.0,0,6,354,3.875,0
F116Q1144605,201604,187000.0,0,1,359,3.875,0
F116Q1144629,201606,125000.0,1,2,358,4.375,0
F116Q1144671,201612,120443.82,0,9,232,3.875,0
F116Q1144681,201612,159643.09,1,8,352,4.125,0
F116Q1144688,201604,95000.0,1,2,178,4.75,0
F116Q1144688,201605,94000.0,1,3,177,4.75,0
F116Q1144688,201606,94000.0,1,4,176,4.75,0
F116Q1144688,201607,94000.0,1,5,175,4.75,0
F116Q1144688,201608,93000.0,1,6,174,4.75,0
F116Q1144688,201609,92912.28,1,7,173,4.75,0
F116Q1144688,201610,92540.23,1,8,172,4.75,0
F116Q1144688,201611,92166.71,1,9,171,4.75,0
F116Q1144688,201612,91791.71,1,10,170,4.75,0
F116Q1144716,201604,145000.0,0,1,359,4.125,0
F116Q1144731,201605,152000.0,0,2,359,4.125,0
F116Q1144732,201609,136000.0,0,5,295,4.0,0
F116Q1144736,201604,101000.0,1,2,178,4.375,0
F116Q1144736,201605,101000.0,1,3,177,4.375,0
F116Q1144736,201606,100000.0,1,4,176,4.375,0
F116Q1144740,201607,78000.0,0,5,355,4.875,0
F116Q1144784,201610,168644.12,1,7,353,4.5,0
F116Q1144784,201611,168415.17,1,8,352,4.5,0
F116Q1144784,201612,168415.17,1,9,351,4.5,0
F116Q1144841,201610,150000.0,0,6,354,4.125,0
F116Q1144843,201611,0.0,0,7,353,4.5,0
F116Q1144918,201606,334000.0,0,3,357,4.5,0
F116Q1144946,201609,110000.0,0,5,175,3.75,0
F116Q1144950,201610,250890.65,0,7,353,3.5,0
F116Q1144965,201610,306337.18,1,7,353,4.5,0
F116Q1144965,201612,305503.86,1,9,351,4.5,0
F116Q1144978,201612,347984.18,0,8,352,4.125,0
F116Q1144980,201608,302000.0,0,4,356,4.125,0
F116Q1144981,201606,272000.0,1,3,357,4.375,0
F116Q1145079,201609,205000.0,0,5,355,3.875,0
F116Q1145135,201606,406000.0,0,3,357,4.0,0
F116Q1145177,201611,211619.91,1,8,352,4.125,0
F116Q1145177,201612,211311.41,1,9,351,4.125,0
F116Q1145196,201608,177000.0,1,5,355,4.25,0
F116Q1145196,201610,176751.47,1,7,353,4.25,0
F116Q1145220,201611,102679.23,0,9,351,4.25,0
F116Q1145221,201608,100000.0,0,6,354,4.25,0
F116Q1145246,201610,285270.68,0,8,292,3.75,0
F116Q1145274,201610,331204.56,0,8,352,3.875,0
F116Q1145321,201606,239000.0,0,2,358,3.99,0
F116Q1145390,201603,374000.0,0,1,359,3.875,0
F116Q1145397,201612,246179.99,1,9,351,3.875,0
F116Q1145398,201605,194000.0,0,3,357,3.75,0
F116Q1145401,201610,185999.21,0,7,353,3.75,0
F116Q1145401,201612,185419.48,0,9,351,3.75,0
F116Q1145430,201606,398000.0,1,2,358,3.625,0
F116Q1145442,201608,187000.0,0,4,176,2.75,0
F116Q1145448,201609,258000.0,0,5,355,3.875,0
F116Q1145453,201607,278000.0,1,4,356,3.875,0
F116Q1145453,201608,277000.0,1,5,355,3.875,0
F116Q1145453,201612,275476.79,1,9,351,3.875,0
F116Q1145461,201605,199000.0,0,1,359,3.75,0
F116Q1145462,201607,386000.0,1,4,356,3.875,0
F116Q1145493,201608,158000.0,0,6,354,4.25,0
F116Q1145515,201605,165000.0,0,2,358,4.375,0
F116Q1145565,201608,292000.0,0,5,175,3.625,0
F116Q1145587,201609,239311.34,0,7,173,2.875,0
F116Q1145649,201607,356000.0,0,4,356,3.75,0
F116Q1145677,201611,8535.11,1,7,353,4.125,0
F116Q1145679,201612,323946.1,1,8,352,3.875,0
F116Q1145731,201609,166000.0,0,5,355,4.75,0
F116Q1145736,201606,259000.0,1,2,358,3.75,0
F116Q1145742,201608,303000.0,0,4,356,3.875,0
F116Q1145784,201611,354788.49,0,8,352,4.0,0
F116Q1145797,201608,146000.0,0,4,116,3.5,0
F116Q1145807,201608,354000.0,1,4,356,4.75,0
F116Q1145807,201609,354000.0,1,5,355,4.75,0
F116Q1145807,201610,354000.0,1,6,354,4.75,0
F116Q1145807,201611,351916.37,1,7,353,4.75,0
F116Q1145807,201612,351916.37,1,8,352,4.75,0
F116Q1145903,201611,202729.54,0,7,353,4.25,0
F116Q1145906,201609,198000.0,0,5,355,4.375,0
F116Q1145921,201610,280000.0,1,6,354,3.99,0
F116Q1145973,201604,380000.0,0,1,359,4.625,0
F116Q1145989,201612,215892.2,1,9,351,4.0,0
F116Q1146019,201606,491000.0,0,2,238,3.875,0
F116Q1146055,201605,179000.0,1,2,358,3.875,0
F116Q1146064,201608,242000.0,0,4,356,4.25,0
F116Q1146145,201612,192822.73,1,8,352,4.25,0
F116Q1146148,201612,339982.34,1,8,352,4.125,0
F116Q1146158,201610,185000.0,0,6,354,4.125,0
F116Q1146232,201609,280000.0,1,6,354,4.25,0
F116Q1146232,201610,280338.19,1,7,353,4.25,0
F116Q1146232,201611,279944.27,1,8,352,4.25,0
F116Q1146232,201612,279548.96,1,9,351,4.25,0
F116Q1146260,201608,171000.0,0,5,235,4.125,0
F116Q1146272,201611,287471.96,1,7,353,4.0,0
F116Q1146287,201612,169005.81,0,8,352,4.0,0
F116Q1146290,201608,142000.0,0,4,356,4.0,0
F116Q1146298,201607,135000.0,0,3,357,3.875,0
F116Q1146366,201607,310000.0,0,3,357,4.125,0
F116Q1146371,201606,245000.0,0,2,358,4.25,0
F116Q1146373,201604,191000.0,0,0,360,4.25,0
F116Q1146453,201603,180000.0,0,0,360,3.625,0
F116Q1146453,201606,179000.0,0,3,357,3.625,0
F116Q1146457,201606,218000.0,1,3,297,3.875,0
F116Q1146457,201607,218000.0,1,4,296,3.875,0
F116Q1146460,201612,119505.49,0,8,172,2.75,0
F116Q1146495,201604,75000.0,0,0,360,3.75,0
F116Q1146503,201604,496000.0,0,2,357,3.99,0
F116Q1146510,201607,128000.0,0,3,237,3.375,0
F116Q1146527,201611,305316.83,0,8,352,3.875,0
